[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706724 -1.17800386  0.09211706]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706724 -1.17800386  0.09211706]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706724 -1.17800386  0.09211706]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706724 -1.17800386  0.09211707]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706724 -1.17800386  0.09211707]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706724 -1.17800386  0.09211707]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706724 -1.17800386  0.09211707]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800386  0.09211707]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800386  0.09211708]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800387  0.09211708]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800387  0.09211708]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800387  0.09211708]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800387  0.09211708]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800387  0.09211708]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800387  0.09211709]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706723 -1.17800387  0.09211709]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706722 -1.17800387  0.09211709]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706722 -1.17800387  0.09211709]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706722 -1.17800387  0.09211709]
[train] mode: dextrogyre, output: -1.0000, error: 1.2000, bias: 0.0000, weights: [-0.90706722 -1.17800387  0.0921171 ]
